,Grad,Opstina,Naselje,Ulica,Tip,Kvadratura,Broj soba,Grejanje,Sprat,Ukupna spratnost,Cena,Od centra
2660,Beograd,?ukarica,?ukari?ka padina,lazarevacki drum,Stan,31.0,0.5,CG,5,7,39900,0.408147727
2661,Beograd,?ukarica,?ukari?ka padina,lazarevacki drum,Stan,114.0,4,CG,5,6,108900,0.408147727
2662,Beograd,?ukarica,?ukari?ka padina,lazarevacki drum,Stan,31.0,0.5,CG,5,7,39900,0.408147727
2663,Beograd,?ukarica,?ukari?ka padina,lazarevacki drum,Stan,76.0,3,CG,6,7,73000,0.408147727
2664,Beograd,?ukarica,?ukari?ka padina,lazarevacki drum,Stan,62.0,2,CG,7,8,60000,0.408147727
2665,Beograd,?ukarica,?ukari?ka padina,lazarevacki drum,Stan,104.0,4,CG,PR,6,98000,0.408147727
2666,Beograd,?ukarica,?ukari?ka padina,lazarevacki drum,Stan,40.0,1,CG,3,6,51000,0.408147727
2667,Beograd,?ukarica,?ukari?ka padina,lazarevacki drum,Stan,57.0,2.5,CG,4,6,61000,0.408147727
2668,Beograd,?ukarica,?ukari?ka padina,lazarevacki drum,Stan,114.0,5,CG,4,5,102000,0.408147727
2669,Beograd,?ukarica,?ukari?ka padina,lazarevacki drum,Stan,75.0,2.5,CG,6,7,79900,0.408147727
2670,Beograd,Vra?ar,Krunska,lazareviceva,Stan,80.0,3.5,CG,VPR,5,170000,0.7451301370000001
2671,Beograd,Zemun,Gornji grad,laze jovanovica porcija,Stan,47.0,2.5,CG,PSUT,3,49000,4.692797887
2672,Beograd,Zemun,Gornji grad,laze jovanovica porcija,Stan,47.0,2.5,CG,PSUT,3,49000,4.692797887
2673,Beograd,Palilula,Karaburma,laze stefanovica,Stan,40.0,1.5,TA,PR,2,27000,4.810905334
2674,Beograd,Palilula,Centar,leonarda da vincija,Stan,38.0,1.5,EG,1,3,27500,6.914088369
2675,Beograd,?ukarica,Bele vode,leposave mihajlovic,Stan,65.0,2.5,CG,VPR,2,78000,12.34324322
2676,Beograd,?ukarica,Žarkovo,leposave vujosevic,Stan,45.0,1.5,EG,1,4,43000,6.516938497000001
2677,Beograd,Voždovac,Voždova?ka crkva,limska,Stan,106.0,4,CG,3,3,169000,3.9409317739999996
2678,Beograd,Palilula,Bor?a,licka,Stan,37.0,1.5,EG,2,3,28000,5.319703206
2679,Beograd,Palilula,Bor?a,licka,Stan,37.0,1.5,EG,2,3,28000,5.319703206
2680,Beograd,Voždovac,Konjarnik,ljermontova,Stan,59.0,2.5,CG,1,10,89000,3.665226834
2681,Beograd,Voždovac,Konjarnik,ljermontova,Stan,59.0,2.5,CG,1,10,89000,3.665226834
2682,Beograd,Voždovac,Šumice,ljermontova,Stan,59.0,2.5,CG,16,18,61000,3.665226834
2683,Beograd,Voždovac,Šumice,ljermontova,Stan,84.0,2.5,CG,6,7,96000,3.665226834
2684,Beograd,Voždovac,Šumice,ljermontova,Stan,46.0,2,CG,5,16,52000,3.665226834
2685,Beograd,Voždovac,Šumice,ljermontova,Stan,84.0,2.5,CG,6,7,96000,3.665226834
2686,Beograd,Voždovac,Šumice,ljermontovljeva,Stan,69.0,2.5,CG,7,8,74000,3.665226834
2687,Beograd,Voždovac,Šumice,ljermontovljeva,Stan,69.0,2.5,CG,7,8,74000,3.665226834
2688,Beograd,?ukarica,Banovo brdo,ljeska,Stan,82.0,2.5,Gas,VPR,6,89000,12.34324322
2689,Beograd,?ukarica,Banovo brdo,ljeska,Stan,48.0,2,CG,VPR,5,67000,12.34324322
2690,Beograd,Zemun,Altina,ljiljane krstic,Stan,41.0,2,EG,PR,2,34400,8.844353318
2691,Beograd,Zemun,Altina,ljiljane krstic,Stan,41.0,2,EG,PR,2,34400,8.844353318
2692,Beograd,Zemun,Altina,ljiljane krstic,Stan,41.0,2,EG,PR,2,34400,8.844353318
2693,Beograd,Voždovac,Saobra?ajni fakultet,ljuba vuckovica,Stan,37.0,1.5,CG,PTK,7,42000,12.23556573
2694,Beograd,Voždovac,Saobra?ajni fakultet,ljuba vuckovica,Stan,65.0,2,CG,1,8,70000,12.23556573
2695,Beograd,Voždovac,Darvinova pošta,ljuba vuckovica,Stan,98.0,3.5,EG,4,5,89900,12.23556573
2696,Beograd,Voždovac,Saobra?ajni fakultet,ljuba vuckovica,Stan,47.0,2,TA,4,4,49000,12.23556573
2697,Beograd,Voždovac,Saobra?ajni fakultet,ljuba vuckovica,Stan,47.0,2,TA,4,4,49000,12.23556573
2698,Beograd,Voždovac,Saobra?ajni fakultet,ljuba vuckovica,Stan,66.0,3.5,CG,2,6,74000,12.23556573
2699,Beograd,Voždovac,Darvinova pošta,ljuba vuckovica,Stan,98.0,3.5,EG,4,5,89900,12.23556573
2700,Beograd,Zvezdara,Denkova bašta,ljube davidovica,Stan,90.0,5+,CG,VPR,4,128000,4.104666422
