,Unnamed: 0,Grad,Opstina,Naselje,Ulica,Tip,Kvadratura,Broj soba,Grejanje,Sprat,Ukupna spratnost,Cena,Od centra
1560,5430,Beograd,Zemun,Zemun polje,elija fincija,Stan,36,1,CG,1,2,34000,11.53343124
1561,5876,Beograd,Zemun,Zemun polje,elija fincija,Stan,36,1,CG,SUT,2,23000,11.53343124
1562,3993,Beograd,Zemun,Zemun polje,elija fincija,Stan,36,2,EG,1,3,34500,11.53343124
1563,5957,Beograd,Zemun,Zemun polje,elija fincija,Stan,46,2,TA,VPR,3,42000,11.53343124
1564,3618,Beograd,Zemun,Zemun polje,elija fincija,Stan,67,3,CG,2,2,43000,11.53343124
1565,5854,Beograd,Zemun,Zemun polje,elija fincija,Stan,90,3.5,TA,2,3,46000,11.53343124
1566,5043,Beograd,Zemun,Zemun polje,elija fincija,Stan,35,1,CG,SUT,2,23000,11.53343124
1567,4945,Beograd,Zemun,Zemun polje,elija fincija,Stan,90,4,EG,2,3,60000,11.53343124
1568,1441,Beograd,Zemun,Altina,emila zatopeka,Stan,38,1.5,EG,PR,4,35000,5.319703206
1569,3418,Beograd,Zemun,Altina,emila zatopeka,Stan,38,1.5,EG,PR,4,35000,5.319703206
1570,681,Beograd,Zemun,Galenika,emilije jaksic,Stan,50,2.5,EG,2,2,53000,8.175241773
1571,5944,Beograd,Zemun,Galenika,emilije jaksic,Stan,55,2,CG,2,2,43000,8.175241773
1572,5058,Beograd,Zemun,Altina,episkopa nikolaja,Stan,55,2,EG,PTK,4,22000,9.399819538
1573,5055,Beograd,Zemun,Altina,episkopa nikolaja,Stan,27,1,Norveški radijatori,2,4,21500,9.399819538
1574,4440,Beograd,Voždovac,Vojvode Stepe,esad pasina,Stan,30,1.5,EG,PSUT,3,43000,2.917529617
1575,5371,Beograd,Voždovac,Bioskop Voždovac,esad pasina,Stan,30,0.5,EG,SUT,3,45000,2.917529617
1576,4494,Beograd,Novi Beograd,Blok 63,evropska,Stan,125,4,CG,5,5,200288,2.550275069
1577,4223,Beograd,Novi Beograd,Blok 63,evropska,Stan,52,2,CG,5,5,83200,2.550275069
1578,3551,Beograd,Novi Beograd,Blok 63,evropska,Stan,52,2,CG,5,5,83200,2.550275069
1579,5300,Beograd,Novi Beograd,Blok 63,evropska,Stan,45,2,CG,2,5,79430,2.550275069
1580,5359,Beograd,Novi Beograd,Blok 63,evropska,Stan,54,2,CG,4,5,95410,2.550275069
1581,2169,Beograd,Zemun,Gornji grad,filipa visnjica,Stan,46,2,CG,PTK,4,42000,6.686869525
1582,544,Beograd,Zemun,Gornji grad,filipa visnjica,Stan,46,2,CG,PTK,4,42000,6.686869525
1583,5789,Beograd,Zvezdara,Olimp,focanska,Stan,130,3,EG,VPR,1,130000,4.802551302
1584,2780,Beograd,Zvezdara,Olimp,focanska,Stan,130,5+,EG,1,3,130000,4.802551302
1585,993,Beograd,Zvezdara,Olimp,focanska,Stan,130,5+,EG,1,3,130000,4.802551302
1586,4402,Beograd,Zvezdara,Olimp,focanska,Stan,40,1.5,TA,PR,3,49900,4.802551302
1587,3557,Beograd,Zemun,Zemun polje,franje krca,Stan,47,1.5,EG,2,2,30900,12.11802123
1588,753,Beograd,Novi Beograd,Blok 63,gandijeva,Stan,50,2,CG,6,9,66000,6.108722476
1589,2314,Beograd,Novi Beograd,Blok 63,gandijeva,Stan,50,2,CG,6,9,66000,6.108722476
1590,4765,Beograd,Voždovac,Lekino brdo,garibaldijeva,Stan,80,3,EG,1,3,107000,2.796605785
1591,5982,Beograd,Voždovac,Konjarnik,glasinacka,Stan,66,2,CG,3,5,72000,4.346785759
1592,5311,Beograd,Palilula,Krnjača,grge andrijanovica,Stan,54,2,EG,1,3,62000,3.452366244
1593,1974,Beograd,Zvezdara,Mirijevo,grge jankesa,Stan,60,2,CG,2,9,54400,6.043436552
1594,129,Beograd,Zvezdara,Mirijevo,grge jankesa,Stan,60,2,CG,2,9,54400,6.043436552
1595,5853,Beograd,Zvezdara,Mirijevo,grge jankesa,Stan,69,2.5,CG,1,6,75000,6.043436552
1596,4423,Beograd,Vračar,Crveni krst,grcica milenka,Stan,70,2.5,CG,7,19,88000,3.02705896
1597,4201,Beograd,Zvezdara,Đeram pijaca,gajeva,Stan,80,3,CG,2,5,155000,2.573657014
1598,2979,Beograd,Zvezdara,Đeram pijaca,gajeva,Stan,69,3,CG,2,5,151800,2.573657014
1599,1238,Beograd,Vračar,Crveni krst,gajeva,Stan,69,2,CG,PR,5,136000,2.573657014
1600,1043,Beograd,Zvezdara,Đeram pijaca,gajeva,Stan,72,3,CG,2,5,140000,2.573657014
1601,5454,Beograd,Zvezdara,Đeram pijaca,gajeva,Stan,69,2.5,CG,VPR,5,136000,2.573657014
1602,1255,Beograd,Zvezdara,Đeram pijaca,gajeva,Stan,69,3,CG,2,5,151800,2.573657014
1603,2570,Beograd,Zvezdara,Đeram pijaca,gajeva,Stan,107,4,CG,5,6,240000,2.573657014
1604,824,Beograd,Zvezdara,Đeram pijaca,gajeva,Stan,107,4,CG,5,6,240000,2.573657014
1605,3082,Beograd,Zvezdara,Đeram pijaca,gajeva,Stan,72,3,CG,2,5,140000,2.573657014
1606,4108,Beograd,Zvezdara,Đeram pijaca,gajeva,Stan,69,2.5,EG,VPR,5,136000,2.573657014
1607,2102,Beograd,Vračar,Crveni krst,gajeva,Stan,120,4,CG,5,5,330000,2.573657014
1608,4752,Beograd,Vračar,Crveni krst,gajeva,Stan,69,2.5,CG,VPR,5,136000,2.573657014
1609,107,Beograd,Vračar,Crveni krst,gajeva,Stan,120,4,CG,5,5,330000,2.573657014
1610,2806,Beograd,Vračar,Crveni krst,gajeva,Stan,69,2,CG,PR,5,136000,2.573657014
