,Grad,Opstina,Naselje,Ulica,Tip,Kvadratura,Broj soba,Cena
10901,Beograd,Voždovac,Braće Jerković,Indire Gandi,Stan,58,2.0,54000
10902,Beograd,Palilula,Višnjička Banja,Slanački put,Stan,28,1.5,31000
10903,Beograd,Palilula,Višnjička Banja,Slanački put,Stan,36,1.5,39500
10904,Beograd,Palilula,Višnjička Banja,Slanački put,Stan,39,1.5,39000
10905,Beograd,Zemun,Meandri,Banjička,Stan,36,1.0,29000
10906,Beograd,Zemun,Kalvarija,Marije Bursac,Stan,45,2.0,47000
10907,Beograd,Voždovac,Vojvode Stepe,Kostolačka,Stan,65,3.0,70000
10908,Beograd,Zemun,Zemun polje,Živojina Ćuluma,Stan,38,1.0,26000
10909,Beograd,Zemun,Zemun polje,Živojina Ćuluma,Stan,26,0.5,20000
10910,Beograd,Vračar,Južni bulevar,Šumatovačka,Stan,37,1.5,50000
10911,Beograd,Voždovac,Braće Jerković,Nova 1.,Stan,61,2.0,49900
10912,Beograd,Palilula,Karaburma,Dr Drage Ljočić,Stan,90,4.0,77000
10913,Beograd,Zvezdara,Mirijevo,Šejkina,Stan,67,3.0,58600
10914,Beograd,Zvezdara,Mirijevo,Nikole Doksata,Stan,35,1.5,34000
10915,Beograd,Palilula,Višnjička Banja,Sestara Bukumirović,Stan,55,3.0,55000
10916,Beograd,Palilula,Karaburma,Jahorinska,Stan,48,2.0,48000
10917,Beograd,Zemun,Altina,Pavla Vujisića ,Stan,48,1.5,42000
10918,Beograd,Palilula,Kotež,Blok Sutjeska,Stan,60,2.5,28000
10919,Beograd,Palilula,Borča,Drinske divizije,Stan,66,2.0,45000
10920,Beograd,Voždovac,Voždovačka crkva,Jove Ilića,Stan,110,3.0,127000
10921,Beograd,Palilula,Botanička bašta,Bulevar despota Stefana,Stan,50,2.5,84900
10922,Beograd,Zemun,Centar,Cara Dušana,Stan,26,1.0,29900
10923,Beograd,Voždovac,Šumice,Strumička,Stan,78,3.5,123000
10924,Beograd,Savski venac,Centar,Kneza Miloša,Stan,116,3.5,158000
10925,Beograd,Novi Beograd,Blok 21,BULEVAR ZORANA ĐINĐIĆA,Stan,136,4.0,295000
10926,Beograd,Grocka,Kaluđerica,RUŽINA,Stan,60,2.0,29500
10927,Beograd,Palilula,Palilulska pijaca,MAJORA ILIĆA,Stan,53,2.0,75000
10928,Beograd,Novi Beograd,Hotel Jugoslavija,ALEKSINAČKIH RUDARA,Stan,78,3.0,109000
10929,Beograd,Rakovica,Miljakovac,BORSKA,Stan,73,3.0,64000
10930,Beograd,Palilula,Karaburma,SALVADORA ALJENDEA,Stan,48,2.0,48000
10931,Beograd,Palilula,Centar,Ruzveltova,Stan,32,0.5,67000
10932,Beograd,Zvezdara,Mirijevo,Ladne vode,Stan,60,2.0,45000
10933,Beograd,Voždovac,Braće Jerković,Dragice Končar,Stan,77,3.0,79000
10934,Beograd,Savski venac,Centar,Birčaninova,Stan,81,3.0,136000
10935,Beograd,Novi Beograd,Blok 63,Nehruova,Stan,72,2.5,73000
10936,Beograd,Novi Beograd,YUBC,Bulevar Mihajla Pupina,Stan,200,3.0,480000
10937,Beograd,Voždovac,Trošarina,Pazinska,Stan,138,4.0,180000
10938,Beograd,Voždovac,Lekino brdo,Miklošićeva,Stan,43,2.5,65000
10939,Beograd,Zvezdara,Rudo,Olge Alkalaj,Stan,71,3.0,100000
10940,Beograd,Vračar,Beogradska,Beogradska,Stan,40,1.0,80000
10941,Beograd,Zemun,Pregrevica,Pregrevica,Stan,121,4.0,110000
10942,Beograd,Stari grad,Studentski trg,Kralja Petra,Stan,100,3.0,220000
10943,Beograd,Vračar,Hram svetog Save,Sumatovacka,Stan,38,1.5,90000
10944,Beograd,Stari grad,Politika,Hilandarska,Stan,95,3.0,169000
10945,Beograd,Vračar,Kalenić pijaca,Niška,Stan,52,2.0,65000
10946,Beograd,Rakovica,Miljakovac,Borska,Stan,71,3.0,71000
10947,Beograd,Stari grad,Dorćol,Mike Alasa,Stan,49,1.5,77000
10948,Beograd,Palilula,Karaburma,Salvadora Aljendea,Stan,70,3.0,58000
10949,Beograd,Zvezdara,Cvetkova pijaca,Podujevska,Stan,39,1.5,35500
10950,Beograd,Grocka,Kaluđerica,Mirijevska,Stan,80,3.0,45000
10951,Beograd,Zemun,Meandri,Zagorska,Stan,35,1.5,50000
10952,Beograd,Stari grad,Skupština,Majke Jevrosime,Stan,46,2.0,55000
10953,Beograd,Palilula,Karaburma,Husinskih rudara,Stan,50,2.0,52000
10954,Beograd,Palilula,Karaburma,Husinskih rudara,Stan,21,0.5,27000
10955,Beograd,Palilula,Karaburma,Marijane Gregoran,Stan,32,2.0,28000
10956,Beograd,Stari grad,Dorćol,Dobračina,Stan,90,2.0,408000
10957,Beograd,Savski venac,Dedinje,Joce Jovanovića,Stan,48,2.0,58000
10958,Beograd,Palilula,Karaburma,Salvadora Aljendea,Stan,80,3.5,60000
10959,Beograd,Palilula,Karaburma,Danteova,Stan,59,2.0,60000
10960,Beograd,Palilula,Karaburma,Pere Ćetkovića,Stan,55,2.0,60000
10961,Beograd,Stari grad,Terazije,Nušićeva,Stan,84,3.5,250000
10962,Beograd,Voždovac,Banjica,Crnotravska,Stan,54,1.5,60000
10963,Beograd,Stari grad,Terazije,Maršala Birjuzova,Stan,64,3.0,110000
10964,Beograd,Voždovac,Braće Jerković,Kružni put ,Stan,29,1.0,37500
10965,Beograd,Voždovac,Medaković 2,Medakovićeva,Stan,38,2.5,36000
