,Grad,Opstina,Naselje,Ulica,Tip,Kvadratura,Broj soba,Grejanje,Sprat,Ukupna spratnost,Cena
2813,Beograd,Opština Vračar,Krunska,Krunska,Stan,68.0,2.0,EG,5,5,130000.0
2814,Beograd,Opština Novi Beograd,Blok 62,Nehruova,Stan,110.0,3.5,CG,2,3,110000.0
2815,Beograd,Opština Zvezdara,Zvezdarska šuma,Veljka Dugoševića,Stan,38.0,1.5,TA,2,4,46000.0
2816,Beograd,Opština Rakovica,Vidikovac,Pilota Mihaila Pterovića,Stan,22.0,0.5,TA,2,2,17500.0
2817,Beograd,Opština Novi Beograd,Fontana,Pariske komune,Stan,56.0,2.0,CG,5,8,74500.0
2818,Beograd,Opština Zemun,Batajnica,Majora Zorana Radosavljevića,Stan,70.0,2.5,CG,1,5,57000.0
2819,Beograd,Opština Novi Beograd,Blok 38,Omladinskih Brigada,Stan,72.0,2.5,CG,2,8,89000.0
2820,Beograd,Opština Rakovica,Vidikovac,Patrijarha Joanikija,Stan,92.0,3.5,CG,8,10,69900.0
2821,Beograd,Opština Novi Beograd,Blok 61,Dr Ivana Ribara,Stan,100.0,4.0,CG,VPR,6,109000.0
2822,Beograd,Opština Zvezdara,Mirijevo,Dušana Radovića,Stan,65.0,2.0,Gas,2,3,90000.0
2823,Beograd,Opština Čukarica,Banovo brdo,Požeška,Stan,49.0,1.5,CG,5,6,68000.0
2824,Beograd,Opština Zemun,Meandri,Sremskih boraca,Stan,79.0,2.5,CG,1,6,67000.0
2825,Beograd,Opština Rakovica,Vidikovac,Vidikovački venac,Stan,91.0,3.5,CG,9,12,85000.0
2826,Beograd,Opština Čukarica,Banovo brdo,Blagoja Parovića,Stan,47.0,2.0,EG,4,6,55000.0
2827,Beograd,Opština Stari grad,Dorćol,Žorža Klemansoa,Stan,105.0,4.0,EG,2,4,160000.0
2828,Beograd,Opština Zvezdara,Bulevar kralja Aleksandra,Bulevar kralja Aleksandra,Stan,82.0,2.5,CG,6,6,88900.0
2829,Beograd,Opština Zvezdara,Mirijevo,mirijevski venac,Stan,64.0,2.5,CG,6,9,63900.0
2830,Beograd,Opština Zvezdara,Mirijevo,Matice srpske,Stan,59.0,2.5,CG,4,9,48000.0
2831,Beograd,Opština Vračar,Kalenić pijaca,Niška,Stan,23.0,0.5,CG,8,9,46500.0
2832,Beograd,Opština Rakovica,Vidikovac,Vidikovački Venac 53,Stan,49.0,2.0,EG,15,16,45000.0
2833,Beograd,Opština Savski venac,Centar,Deligradska,Stan,78.0,3.5,CG,4,5,133000.0
2834,Beograd,Opština Voždovac,Dušanovac,Tomazeova,Stan,63.0,3.0,EG,2,5,88200.0
2835,Beograd,Opština Voždovac,Lekino brdo,Varvarinska,Stan,45.0,2.5,CG,3,4,76000.0
2836,Beograd,Opština Zvezdara,Mirijevo,Kapetana Miloša Žunjića,Stan,114.0,4.0,TA,2,3,125000.0
2837,Beograd,Opština Rakovica,Petlovo brdo,Tuzlanska,Stan,42.0,1.5,TA,2,4,38500.0
2838,Beograd,Opština Zvezdara,Mirijevo,ULOFA PALMEA,Stan,86.0,3.5,CG,3,4,91000.0
2839,Beograd,Opština Novi Beograd,Hotel Jugoslavija,Aleksinačkih rudara ,Stan,48.0,2.0,CG,4,4,72000.0
2840,Beograd,Opština Novi Beograd,Blok 64,Gandijeva,Stan,75.0,2.5,CG,4,9,75000.0
2841,Beograd,Opština Stari grad,Zeleni venac,Kraljevića Marka,Stan,56.0,2.5,EG,4,5,81200.0
2842,Beograd,Opština Novi Beograd,Blok 44 (TC Piramida),Gandijeva,Stan,113.0,4.0,CG,6,7,112000.0
2843,Beograd,Opština Voždovac,Autokomanda,J.ilica,Stan,135.0,4.0,CG,3,6,230000.0
2844,Beograd,Opština Čukarica,Čukarička padina,Radnička,Stan,61.0,2.5,CG,7,7,59500.0
2845,Beograd,Opština Vračar,Cvetni trg,NJegoševa,Stan,90.0,3.5,CG,2,4,240000.0
2846,Beograd,Opština Zemun,Zemun polje,VLAJKA DJURANOVICA,Stan,47.0,2.5,TA,2,2,37000.0
2847,Beograd,Opština Palilula,Poštanska štedionica,Kraljice Marije,Stan,130.0,5+,CG,1,4,189000.0
2848,Beograd,Opština Novi Beograd,Blok 61,Dušana Vukasovića,Stan,84.0,3.0,CG,1,6,80000.0
2849,Beograd,Opština Vračar,Hram svetog Save,Hadži Melentijeva,Stan,69.0,3.0,CG,5,6,114000.0
2850,Beograd,Opština Vračar,Južni bulevar,Juzni Bulevar,Stan,38.0,1.5,CG,3,7,55000.0
2851,Beograd,Opština Čukarica,Banovo brdo,Nikolaja Gogolja,Stan,72.0,2.5,CG,PR,6,85000.0
2852,Beograd,Opština Vračar,Crveni krst,Sazonova,Stan,90.0,3.0,CG,PR,5,148500.0
2853,Beograd,Opština Zvezdara,Mirijevo,Mihaila Bulgakova,Stan,64.0,3.0,EG,2,3,56900.0
2854,Beograd,Opština Savski venac,Centar,Vojvode Milenka,Stan,87.0,3.0,CG,2,8,139000.0
2855,Beograd,Opština Palilula,Višnjička Banja,Višnjički venac,Stan,44.0,1.5,CG,VPR,4,40000.0
2856,Beograd,Opština Novi Beograd,Blok 23,Bulevar Milutina Milankovića,Stan,73.0,3.0,CG,2,12,91500.0
2857,Beograd,Opština Novi Beograd,Blok 61,Jurija Gagarina,Stan,48.0,1.5,CG,14,19,58900.0
2858,Beograd,Opština Zvezdara,Mirijevo,Samjuela Beketa,Stan,30.0,1.0,CG,5,6,36000.0
2859,Beograd,Opština Zemun,Batajnica,Sv.Serafima Sarovskog,Stan,55.0,2.0,CG,3,5,45000.0
2860,Beograd,Opština Voždovac,Lekino brdo,Ibarska,Stan,40.0,1.0,CG,PR,4,45000.0
2861,Beograd,Opština Zvezdara,Bulevar kralja Aleksandra,Ustanicka,Stan,90.45,3.0,CG,5,6,90000.0
2862,Beograd,Opština Novi Beograd,Blok 33,Narodnih heroja,Stan,69.0,2.0,CG,3,30,72000.0
2863,Beograd,Opština Novi Beograd,Bežanijska kosa 2,Marka Celebonovica,Stan,47.0,1.5,CG,5,7,52000.0
2864,Beograd,Opština Vračar,Kalenić pijaca,Sinđelićeva,Stan,70.0,2.5,CG,2,5,118000.0
2865,Beograd,Opština Palilula,Borča,Sonje Marinković,Stan,55.0,2.0,CG,1,5,40000.0
2866,Beograd,Opština Zvezdara,Mirijevo,Mirijevski venac,Stan,69.0,2.5,CG,6,9,63900.0
2867,Beograd,Opština Čukarica,Banovo brdo,Kraljice Katarine,Stan,61.0,2.0,CG,1,5,83000.0
2868,Beograd,Opština Voždovac,Voždovačka crkva,Kraljevačka,Stan,72.0,3.0,CG,5,8,76000.0
2869,Beograd,Opština Savski venac,Dedinje,Maleška,Stan,64.0,3.0,EG,1,2,70000.0
2870,Beograd,Opština Stari grad,Dorćol,Mike Alasa,Stan,41.0,1.0,CG,1,8,80000.0
2871,Beograd,Opština Zvezdara,Mirijevo,Vitezova Karađorđeve Zvezde,Stan,45.0,2.0,EG,2,3,47000.0
2872,Beograd,Opština Rakovica,Kanarevo brdo,Borska,Stan,55.0,1.5,CG,9,10,52000.0
2873,Beograd,Opština Rakovica,Miljakovac,Borska,Stan,32.0,1.0,CG,5,6,36000.0
2874,Beograd,Opština Čukarica,Cerak vinogradi,Cerski venac,Stan,83.0,3.5,CG,1,3,82900.0
2875,Beograd,Opština Novi Beograd,Ledine,Novobeogradskih graditelja 23a,Stan,45.0,2.5,EG,2,3,24750.0
2876,Beograd,Opština Palilula,Karaburma,visnjicka,Stan,38.0,1.5,TA,5,5,46000.0
2877,Beograd,Opština Vračar,Bulevar kralja Aleksandra,Mlatišumina,Stan,53.0,2.0,CG,VPR,5,139000.0
