,Unnamed: 0,Ulica,Koordinate,Od centra
124,791,sretena mladenovica mike,"(44.7189343, 20.4538059)",7.8794753889999996
125,870,starca milije,"(44.7189343, 20.4538059)",7.8794753889999996
126,892,susedgradska,"(44.7189343, 20.4538059)",7.8794753889999996
127,864,srdjana aleksica,"(44.8079799, 20.3633362)",7.877005429
128,979,vespucijeva,"(44.8090532, 20.3634489)",7.861243728
129,760,ratarski put,"(44.85369, 20.3713066)",7.827142343999999
130,698,petra jovanovica,"(44.7238733, 20.4318468)",7.807917976000001
131,7,11. krajiske divizije,"(44.7261063, 20.4263118)",7.781918134
132,1034,xi krajiske divizije,"(44.7261768, 20.4261884)",7.7801100420000004
133,453,kumodraz ii,"(44.7404766, 20.5194421)",7.775972825
134,518,magelanova,"(44.8085856, 20.3650719)",7.732871654
135,18,3. sutjeska,"(44.760276, 20.5374947)",7.720221496000001
136,893,sutjeska 1,"(44.760276, 20.5374947)",7.720221496000001
137,826,serdar janka vukotica,"(44.7279033, 20.4258263)",7.660042901000001
138,504,marka pola,"(44.8094437, 20.3666102)",7.603438087000001
139,1079,djoka kovacevica,"(44.8401583, 20.3698247)",7.582991493
140,12,17 oktobar,"(44.7282338, 20.4307293)",7.499237591
141,13,17 oktobra,"(44.7282338, 20.4307293)",7.499237591
142,820,sedamnaestog oktobra,"(44.7282338, 20.4307293)",7.499237591
143,620,nedeljka gvozdenovica,"(44.8105774, 20.3684544)",7.448406242999999
144,740,ratka resanovica,"(44.7467889, 20.4006225)",7.397929563
145,1045,zemljoradnicka,"(44.7397987, 20.5103722)",7.39067595
146,842,skopljanska,"(44.8564358, 20.3791761)",7.341110692999999
147,458,ljubise miodragovica,"(44.7900924, 20.5470005)",7.340443792
148,228,dragana lukica,"(44.8140775, 20.3701006)",7.303841791
149,619,nede spasojevic,"(44.813368, 20.3702655)",7.291899706000001
150,0,jurija gagarina,"(44.8009253, 20.3717127)",7.274184335
151,416,knezevacka,"(44.7318473, 20.4298488)",7.246137946
152,658,patrijarha joanikija,"(44.7363189, 20.4197449)",7.238565106
153,731,prvoboraca,"(44.7322846, 20.4291136)",7.233348274
154,117,branislava stankovica,"(44.82579579999999, 20.5486151)",7.210275854
155,25,aleksandra belica,"(44.7884712, 20.5447821)",7.2078114939999995
156,334,ivana sarica,"(44.78937579999999, 20.5443662)",7.153349893
157,1014,vojni put,"(44.8424988, 20.3766641)",7.1041679470000005
158,181,dr ivana ribara,"(44.7949147, 20.3752747)",7.090808907
159,76,bele vode,"(44.7501553, 20.4028275)",7.074705927999999
160,187,dusana vukasovica,"(44.8027678, 20.3739338)",7.072688474
161,48,atanasija pulje,"(44.8365367, 20.3754285)",7.070273311
162,556,milajkovacke staze,"(44.7295364, 20.4714882)",7.0626612920000005
163,436,krajiska,"(44.8392875, 20.3765356)",7.0397277439999995
164,496,m. celebonovica,"(44.8211613, 20.3735367)",7.0365036110000005
165,503,marka celebonovica,"(44.8211613, 20.3735367)",7.0365036110000005
166,531,marsala tita,"(44.82905840000001, 20.5459945)",7.034300546
167,605,mome stanojlovica,"(44.7358793, 20.4280345)",6.9931182110000005
168,983,vinogradski venac,"(44.74366620000001, 20.4131341)",6.990428405
169,762,raska dimitrijevica,"(44.8132054, 20.3740272)",6.9875589179999995
170,955,vidikovacki venac,"(44.739796, 20.419879)",6.983393791
171,231,draginje adamovic,"(44.8171571, 20.5463082)",6.979651757
172,708,pirandelova,"(44.77885269999999, 20.5378544)",6.97487849
173,543,mihaila bulgakova,"(44.7868585, 20.5407407)",6.940326927999999
174,1026,vojvodjanska,"(44.8073706, 20.3750482)",6.936175544
175,457,ljubinke bobic,"(44.8145505, 20.3748322)",6.919711104
176,467,leonarda da vincija,"(44.8243028, 20.5450973)",6.914088369
177,331,ismeta mujezinovica,"(44.8155547, 20.3754418)",6.869455102000001
178,828,sestara jankovic,"(44.8140526, 20.5449072)",6.867122491
179,790,sremskih boraca,"(44.8482124, 20.3829195)",6.787416601
180,395,karlovacka,"(44.8540126, 20.3858345)",6.770908615
181,809,samjuela beketa,"(44.7901404, 20.539577)",6.7647917710000005
182,352,jelenov zleb,"(44.75269850000001, 20.4059304)",6.754287656
183,78,belo vrelo,"(44.7495678, 20.4099691)",6.746390266000001
184,130,brace vuckovic,"(44.7542721, 20.4043382)",6.7439602579999995
185,169,cerski venac,"(44.7448968, 20.4174149)",6.721682536
186,660,pedje milosavljevica,"(44.81718960000001, 20.3774501)",6.70737416
187,260,filipa visnjica,"(44.8539537, 20.3869707)",6.686869525
188,564,milana sarca,"(44.7507339, 20.409991)",6.670187928
189,102,borivoja stevanovica,"(44.77671369999999, 20.5324028)",6.659940576
190,121,branka copica,"(44.77671369999999, 20.5324028)",6.659940576
191,223,dr velimirovica,"(44.77671369999999, 20.5324028)",6.659940576
192,353,jelezovacka,"(44.77671369999999, 20.5324028)",6.659940576
193,391,kapetana milosa zunjica,"(44.77671369999999, 20.5324028)",6.659940576
194,587,mirka banjevica,"(44.77671369999999, 20.5324028)",6.659940576
195,663,pere veljkovica,"(44.77671369999999, 20.5324028)",6.659940576
196,735,pupinova,"(44.77671369999999, 20.5324028)",6.659940576
197,903,svetozara zorica,"(44.77671369999999, 20.5324028)",6.659940576
198,991,vjekoslava africa,"(44.77671369999999, 20.5324028)",6.659940576
199,999,vladimira mitrovica,"(44.77671369999999, 20.5324028)",6.659940576
200,1004,vladislava bajcevica,"(44.77671369999999, 20.5324028)",6.659940576
201,450,krste sretenovica,"(44.751516, 20.4095632)",6.641444456
202,89,bitoljska,"(44.748661, 20.4134533)",6.640065143999999
203,1035,zagorska,"(44.8460707, 20.3840473)",6.637362388
204,938,ulofa palmea,"(44.7905424, 20.5376744)",6.608092653
205,171,crvenih hrastova,"(44.74495109999999, 20.4201428)",6.606508015
206,24,alaska,"(44.8544096, 20.3886462)",6.58405601
207,155,cara dusana,"(44.8544096, 20.3886462)",6.58405601
208,847,slavka rodica,"(44.73901, 20.4342484)",6.580497555
209,430,koste nadja,"(44.7931293, 20.5380947)",6.578489151
210,911,teodora mirijevskog,"(44.7931293, 20.5380947)",6.578489151
211,799,stojana stoleta arandjelovica,"(44.8129423, 20.5407327)",6.531609641
212,707,pilota milorada petrovica,"(44.7430051, 20.4262421)",6.52077302
213,1010,vojina djurasinovica,"(44.7881743, 20.5357089)",6.520645611
214,1011,vojina djurasinovica - kostje,"(44.7881743, 20.5357089)",6.520645611
215,469,leposave vujosevic,"(44.7531143, 20.4100196)",6.516938497000001
216,577,milorada umljenovica,"(44.7591504, 20.4034288)",6.50827709
217,706,pilota mihaila petrovica,"(44.7425688, 20.4277495)",6.502481897000001
218,610,nehruova,"(44.8007958, 20.3816065)",6.486986817000001
