,Grad,Opstina,Naselje,Ulica,Tip,Kvadratura,Broj soba,Grejanje,Sprat,Ukupna spratnost,Cena
1075,Beograd,Opština Novi Beograd,Arena,antofasisticke borbe,Stan,77.0,2.5,CG,2,6,116000.0
816,Beograd,Opština Novi Beograd,Blok 22,antofasisticke borbe,Stan,117.0,4.0,CG,6,6,210000.0
979,Beograd,Opština Novi Beograd,Arena,antofasisticke borbe,Stan,107.0,4.0,CG,7,7,180000.0
5354,Beograd,Opština Zemun,Zemun polje,antona klemencica,Stan,47.0,2.0,TA,VPR,2,35000.0
2507,Beograd,Opština Čukarica,Filmski grad,arcibalda rajsa,Stan,90.0,3.0,CG,3,4,109000.0
448,Beograd,Opština Čukarica,Filmski grad,arcibalda rajsa,Stan,90.0,3.0,CG,3,4,109000.0
118,Beograd,Opština Čukarica,Filmski grad,arhimadrita zelica,Stan,86.0,3.5,CG,PR,3,105000.0
1861,Beograd,Opština Čukarica,Filmski grad,arhimadrita zelica,Stan,86.0,3.5,CG,PR,3,105000.0
5513,Beograd,Opština Čukarica,Filmski grad,arhimandrita gerasima zelica,Stan,110.0,3.0,CG,4,5,100000.0
5725,Beograd,Opština Čukarica,Filmski grad,arhimandrita gerasima zelica,Stan,78.0,3.5,CG,PR,4,85000.0
5788,Beograd,Opština Čukarica,Filmski grad,arcibalda rajsa,Stan,82.0,3.0,Gas,2,3,86000.0
3620,Beograd,Opština Čukarica,Filmski grad,arcibalda rajsa,Stan,44.0,1.5,CG,PR,6,39000.0
5488,Beograd,Opština Čukarica,Filmski grad,arcibalda rajsa,Stan,49.0,2.0,CG,1,4,55000.0
5123,Beograd,Opština Čukarica,Filmski grad,arcibalda rajsa,Stan,34.0,1.5,TA,4,4,35000.0
1101,Beograd,Opština Zemun,Novi grad,atanasija pulje,Stan,43.0,1.5,TA,VPR,2,36000.0
3435,Beograd,Opština Zemun,Novi grad,atanasija pulje,Stan,48.0,2.0,TA,VPR,1,32000.0
3501,Beograd,Opština Zemun,Novi grad,atanasija pulje,Stan,48.0,2.0,TA,VPR,1,32000.0
1463,Beograd,Opština Zemun,Novi grad,atanasija pulje,Stan,48.0,2.0,TA,VPR,1,32000.0
5477,Beograd,Opština Savski venac,Dedinje,augusta cesarca,Stan,41.0,1.5,Norveški radijatori,1,3,69900.0
